VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,20:37.0,26:59.0,N,1,74,75,1,1.45,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,23:10.0,28:48.0,N,1,74,75,1,1.47,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,09:43.0,16:58.0,N,1,74,75,1,0.91,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,51:43.0,59:14.0,N,1,74,75,1,1.23,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,18:08.0,24:24.0,N,1,74,75,1,1.22,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,00:15.0,07:30.0,N,1,74,75,1,1.22,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,52:17.0,59:01.0,N,1,74,75,1,1.24,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,44:43.0,51:22.0,N,1,74,75,1,1.18,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,18:06.0,24:46.0,N,1,74,75,1,1.07,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,58:45.0,07:12.0,N,1,74,75,1,1,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,58:30.0,05:25.0,N,1,74,75,1,1.14,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,26:27.0,33:45.0,N,1,74,75,1,1.07,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,20:08.0,25:23.0,N,1,74,75,1,1.44,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,16:18.0,22:31.0,N,1,74,75,1,1.21,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,55:19.0,01:43.0,N,1,74,75,1,1.46,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,27:38.0,32:02.0,N,1,74,75,1,1.57,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,43:38.0,49:27.0,N,1,74,75,1,1.46,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,50:28.0,55:59.0,N,1,74,75,1,1.47,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,21:12.0,27:11.0,N,1,74,75,1,1.4,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,16:06.0,22:15.0,N,1,74,75,1,1.33,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,50:23.0,56:45.0,N,1,74,75,1,1.42,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,24:25.0,30:10.0,N,1,74,75,1,1.5,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,22:25.0,28:12.0,N,1,74,75,1,1.34,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,05:32.0,11:56.0,N,1,74,75,1,1.05,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,29:02.0,35:58.0,N,1,74,75,1,1.08,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,16:31.0,22:55.0,N,1,74,75,1,1.23,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,41:07.0,47:20.0,N,1,74,75,1,1.09,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,46:39.0,54:24.0,N,1,74,75,1,1.19,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,25:04.0,31:19.0,N,1,74,75,1,1.5,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,13:35.0,20:20.0,N,1,74,75,1,1.22,6.5,0,0.5,0,0,0.3,7.3,2,1,0
2,40:41.0,48:18.0,N,1,74,75,1,1.18,6.5,0,0.5,0,0,0.3,7.3,2,1,0
